name,RA,DEC,re,mue,mean_score,std_score,grade
galaxy_191.705393_2.7136_KIDS_191.5_2.5,191.705393,2.7136,9.97,24.77,9.14,1.46,A
galaxy_191.721028_-0.1543_KIDS_192.0_-0.5,191.721028,-0.1543,4.56,24.99,8.29,1.6,A
galaxy_191.72739_2.3596_KIDS_191.5_2.5,191.72739,2.3596,9.91,24.44,10,0,A
galaxy_191.82201_-1.7203_KIDS_192.0_-1.5,191.82201,-1.7203,8.74,25.6,9.14,1.46,A
galaxy_191.847777_-1.4049_KIDS_192.0_-1.5,191.847777,-1.4049,10.51,25.7,9.57,1.13,A
galaxy_191.931795_-1.9492_KIDS_192.0_-1.5,191.931795,-1.9492,7.19,24.16,9.4,1.34,A
galaxy_191.950595_-3.4965_KIDS_191.5_-3.5,191.950595,-3.4965,6.3,24.73,8.29,1.6,A
galaxy_191.989902_-2.5431_KIDS_191.5_-2.5,191.989902,-2.5431,9.08,25.12,8.38,2.56,A
galaxy_192.025941_1.026_KIDS_192.0_1.5,192.025941,1.026,8.27,25.11,9.57,1.13,A
galaxy_192.026272_1.2208_KIDS_192.0_1.5,192.026272,1.2208,7.83,25.84,8.71,1.6,A
galaxy_192.032444_-0.4577_KIDS_192.0_-0.5,192.032444,-0.4577,3.96,25.73,9.25,1.39,A
galaxy_192.050444_-0.8391_KIDS_192.0_-0.5,192.050444,-0.8391,7.83,24.12,8.8,1.64,A
galaxy_192.115801_2.5186_KIDS_192.5_2.5,192.115801,2.5186,7.84,25.61,9.57,1.13,A
galaxy_192.239166_-0.78_KIDS_192.0_-0.5,192.239166,-0.78,7.77,25.65,9.14,1.46,A
galaxy_192.276564_1.957_KIDS_192.5_2.5,192.276564,1.957,8.46,24.82,8.8,1.64,A
galaxy_192.343745_2.5946_KIDS_192.5_2.5,192.343745,2.5946,4.43,25.49,8.71,1.6,A
galaxy_192.506186_3.2154_KIDS_192.5_3.5,192.506186,3.2154,15.65,25.4,9.14,1.46,A
galaxy_192.530121_2.248_KIDS_192.5_2.5,192.530121,2.248,19.76,23.9,10,0,A
galaxy_192.603529_-1.16_KIDS_193.0_-1.5,192.603529,-1.16,6.29,24.76,8.29,1.6,A
galaxy_193.071009_2.1487_KIDS_193.5_2.5,193.071009,2.1487,7.81,25.42,8.71,1.6,A
galaxy_193.096055_2.2897_KIDS_193.5_2.5,193.096055,2.2897,8.99,24.47,9.14,1.46,A
galaxy_193.102724_-1.8772_KIDS_193.0_-1.5,193.102724,-1.8772,6.87,25.34,9.14,1.46,A
galaxy_193.202667_-0.9405_KIDS_193.0_-0.5,193.202667,-0.9405,6.09,24.73,9.14,1.46,A
galaxy_193.205892_1.7345_KIDS_193.0_1.5,193.205892,1.7345,8.54,23.82,10,0,A
galaxy_193.296704_3.4426_KIDS_193.5_3.5,193.296704,3.4426,9.6,24.96,8.71,1.6,A
galaxy_193.447221_1.6991_KIDS_193.0_1.5,193.447221,1.6991,7.24,25.34,9.57,1.13,A
galaxy_193.468617_1.42_KIDS_193.0_1.5,193.468617,1.42,4.29,25.41,9.57,1.13,A
galaxy_193.472122_2.0329_KIDS_193.5_2.5,193.472122,2.0329,10.04,24.75,10,0,A
galaxy_193.560306_0.3767_KIDS_194.0_0.5,193.560306,0.3767,5.98,25.77,9.14,1.46,A
galaxy_193.64572_1.8085_KIDS_194.0_1.5,193.64572,1.8085,8.92,24.79,9.57,1.13,A
galaxy_193.733683_3.0217_KIDS_193.5_3.5,193.733683,3.0217,6.31,24.85,10,0,A
galaxy_193.740968_1.9781_KIDS_193.5_2.5,193.740968,1.9781,10.9,24.64,10,0,A
galaxy_193.855628_2.8775_KIDS_193.5_2.5,193.855628,2.8775,6.69,25.22,9.57,1.13,A
galaxy_193.86858_2.9624_KIDS_193.5_2.5,193.86858,2.9624,6.46,24.94,9.14,1.46,A
galaxy_194.038413_-1.4555_KIDS_194.0_-1.5,194.038413,-1.4555,5.86,24.19,8.8,1.64,A
galaxy_194.211727_1.614_KIDS_194.0_1.5,194.211727,1.614,8.52,25.93,8.14,2.67,A
galaxy_194.552857_-3.4819_KIDS_194.5_-3.5,194.552857,-3.4819,6.39,25.78,8.29,1.6,A
galaxy_194.784635_-2.4261_KIDS_194.5_-2.5,194.784635,-2.4261,6.12,25.64,9.57,1.13,A
galaxy_195.198111_-0.2358_KIDS_195.0_-0.5,195.198111,-0.2358,4.28,26.16,8.57,2.7,A
galaxy_195.609272_2.3049_KIDS_195.5_2.5,195.609272,2.3049,9.13,25.23,10,0,A
galaxy_195.868901_2.5986_KIDS_195.5_2.5,195.868901,2.5986,12.65,25.85,9.57,1.13,A
galaxy_196.068261_-2.0007_KIDS_196.0_-1.5,196.068261,-2.0007,10.1,24.3,9.4,1.34,A
galaxy_196.190038_2.5944_KIDS_196.5_2.5,196.190038,2.5944,5.86,25.38,9.57,1.13,A
galaxy_196.389583_-0.2946_KIDS_196.0_-0.5,196.389583,-0.2946,9.9,24.45,10,0,A
galaxy_196.810807_2.3701_KIDS_196.5_2.5,196.810807,2.3701,6.23,25.14,8.88,1.55,A
galaxy_197.283832_-0.762_KIDS_197.0_-0.5,197.283832,-0.762,4.2,25.56,9.57,1.13,A
galaxy_197.332637_0.8839_KIDS_197.0_0.5,197.332637,0.8839,6.52,23.96,10,0,A
galaxy_197.602861_2.0304_KIDS_197.5_2.5,197.602861,2.0304,5.57,25.77,9.14,1.46,A
galaxy_197.624432_-1.7711_KIDS_198.0_-1.5,197.624432,-1.7711,6.66,25.56,9.57,1.13,A
galaxy_197.826611_-0.2294_KIDS_198.0_-0.5,197.826611,-0.2294,6.03,24.64,8.5,1.73,A
galaxy_197.913278_0.5326_KIDS_198.0_0.5,197.913278,0.5326,5.42,24.75,9.4,1.34,A
galaxy_199.988247_1.2127_KIDS_200.0_1.5,199.988247,1.2127,8.64,24.66,9.4,1.34,A
galaxy_200.417249_-2.0956_KIDS_200.6_-2.5,200.417249,-2.0956,7.63,24.63,9.4,1.34,A
galaxy_201.285869_-3.5983_KIDS_201.6_-3.5,201.285869,-3.5983,10.56,23.89,7.4,2.88,A
galaxy_201.41328_2.0473_KIDS_201.6_2.5,201.41328,2.0473,6.16,25.73,9.14,1.46,A
galaxy_201.604051_2.2415_KIDS_201.6_2.5,201.604051,2.2415,5.73,24.99,9.57,1.13,A
galaxy_202.386025_-1.122_KIDS_202.0_-1.5,202.386025,-1.122,6.1,24.48,8.8,1.64,A
galaxy_202.784855_-1.6522_KIDS_203.0_-1.5,202.784855,-1.6522,4.05,25.46,7.71,2.56,A
galaxy_202.799166_-1.6778_KIDS_203.0_-1.5,202.799166,-1.6778,5.52,24.49,9.5,1.22,A
galaxy_202.891325_2.18_KIDS_202.6_2.5,202.891325,2.18,10.19,24.32,7.14,3.13,A
galaxy_202.913619_-2.653_KIDS_202.6_-2.5,202.913619,-2.653,6.59,24.52,8.29,1.6,A
galaxy_203.117756_-1.4854_KIDS_203.0_-1.5,203.117756,-1.4854,6.19,24.52,8.2,1.64,A
galaxy_208.183948_2.8283_KIDS_208.6_2.5,208.183948,2.8283,5.35,24.86,8.5,1.6,A
galaxy_208.187786_2.7679_KIDS_208.6_2.5,208.187786,2.7679,7.02,24.58,9.14,1.46,A
galaxy_208.351083_0.9094_KIDS_208.0_0.5,208.351083,0.9094,5.95,24.49,8.14,2.67,A
galaxy_209.8206_-3.1419_KIDS_209.6_-3.5,209.8206,-3.1419,5.71,24.32,8.8,1.64,A
galaxy_211.821999_-3.1116_KIDS_211.6_-3.5,211.821999,-3.1116,7.31,25.28,7.14,3.13,A
galaxy_212.337855_-1.8831_KIDS_212.0_-1.5,212.337855,-1.8831,6.55,24.94,7.57,3.31,A
galaxy_213.411151_-3.3355_KIDS_213.6_-3.5,213.411151,-3.3355,5.96,25.26,8.14,2.67,A
galaxy_213.420771_-2.1851_KIDS_213.6_-2.5,213.420771,-2.1851,12.64,24.57,7.29,2.36,A
galaxy_213.502182_2.1544_KIDS_213.6_2.5,213.502182,2.1544,7.72,25.81,8.14,2.67,A
galaxy_213.640506_2.9819_KIDS_213.6_2.5,213.640506,2.9819,4.23,24.94,8.14,2.67,A
galaxy_214.037527_3.43_KIDS_213.6_3.5,214.037527,3.43,9.68,26.03,8.71,1.6,A
galaxy_214.638577_1.9687_KIDS_215.0_1.5,214.638577,1.9687,4.13,24.98,8.29,1.6,A
galaxy_214.800381_2.3507_KIDS_214.6_2.5,214.800381,2.3507,4.45,24.68,8.8,1.64,A
galaxy_214.812319_3.1243_KIDS_214.6_3.5,214.812319,3.1243,13.47,25.13,10,0,A
galaxy_215.301225_3.8351_KIDS_215.6_3.5,215.301225,3.8351,4.74,25.9,8.57,2.7,A
galaxy_215.465966_3.0738_KIDS_215.6_3.5,215.465966,3.0738,10.17,24.81,10,0,A
galaxy_215.518174_3.5866_KIDS_215.6_3.5,215.518174,3.5866,13.65,25.62,9.57,1.13,A
galaxy_216.385671_-3.3877_KIDS_216.6_-3.5,216.385671,-3.3877,5.05,24.12,9.4,1.34,A
galaxy_216.868425_3.5248_KIDS_216.6_3.5,216.868425,3.5248,4.53,25.55,9.14,1.46,A
galaxy_217.029025_3.1863_KIDS_216.6_3.5,217.029025,3.1863,12.46,26.13,9.57,1.13,A
galaxy_217.396029_3.01_KIDS_217.6_3.5,217.396029,3.01,9.26,24.31,9.5,1.22,A
galaxy_217.461639_3.7023_KIDS_217.6_3.5,217.461639,3.7023,3.76,25.96,9.57,1.13,A
galaxy_217.477717_3.2528_KIDS_217.6_3.5,217.477717,3.2528,6.92,25.74,9.57,1.13,A
galaxy_217.550145_3.1432_KIDS_217.6_3.5,217.550145,3.1432,5.42,25.65,9.57,1.13,A
galaxy_217.612469_3.085_KIDS_217.6_3.5,217.612469,3.085,5.46,24.06,9.4,1.34,A
galaxy_217.712664_3.2068_KIDS_217.6_3.5,217.712664,3.2068,13.25,24.8,10,0,A
galaxy_217.914641_3.3542_KIDS_217.6_3.5,217.914641,3.3542,5.64,25.62,9.57,1.13,A
galaxy_217.949809_3.6255_KIDS_217.6_3.5,217.949809,3.6255,5.48,25.91,9.14,1.46,A
galaxy_217.971208_3.3799_KIDS_217.6_3.5,217.971208,3.3799,6.58,24.35,7.75,1.5,A
galaxy_218.652205_3.5062_KIDS_218.6_3.5,218.652205,3.5062,6.49,24.85,10,0,A
galaxy_218.661472_3.535_KIDS_218.6_3.5,218.661472,3.535,6.48,25.18,9.14,1.46,A
galaxy_218.720656_3.5208_KIDS_218.6_3.5,218.720656,3.5208,5.46,25.11,8,3.08,A
galaxy_218.81562_3.58_KIDS_218.6_3.5,218.81562,3.58,8.08,24.66,9.4,1.34,A
galaxy_218.904739_2.7073_KIDS_218.6_2.5,218.904739,2.7073,12.8,23.94,10,0,A
galaxy_218.918145_2.9523_KIDS_218.6_3.5,218.918145,2.9523,4.06,26.04,7.57,3.31,A
galaxy_219.051789_3.2157_KIDS_218.6_3.5,219.051789,3.2157,4.1,24.92,7.29,2.36,A
galaxy_219.244338_3.1178_KIDS_219.6_3.5,219.244338,3.1178,4.75,25.61,9.57,1.13,A
galaxy_219.441308_2.9739_KIDS_219.6_3.5,219.441308,2.9739,4.13,25.26,8.29,1.6,A
galaxy_219.869489_3.3679_KIDS_219.6_3.5,219.869489,3.3679,4.8,24.88,9.14,1.46,A
galaxy_219.914338_2.5819_KIDS_219.6_2.5,219.914338,2.5819,9.91,23.84,7.75,1.5,A
galaxy_219.919611_-0.3029_KIDS_220.0_-0.5,219.919611,-0.3029,12.52,24.24,9,1.55,A
galaxy_219.925805_-0.3026_KIDS_220.0_-0.5,219.925805,-0.3026,11.71,24.15,9.4,1.34,A
galaxy_219.942026_3.3_KIDS_219.6_3.5,219.942026,3.3,6.44,24.07,7.5,5,A
galaxy_219.999667_-0.1862_KIDS_220.0_-0.5,219.999667,-0.1862,7.86,24.35,7.4,2.88,A
galaxy_220.217368_1.6456_KIDS_220.0_1.5,220.217368,1.6456,7.49,24.84,10,0,A
galaxy_220.391189_3.4973_KIDS_220.6_3.5,220.391189,3.4973,9.12,23.88,10,0,A
galaxy_220.446834_3.7428_KIDS_220.6_3.5,220.446834,3.7428,5.69,24.88,9.57,1.13,A
galaxy_220.884335_3.8937_KIDS_220.6_3.5,220.884335,3.8937,9.92,23.89,10,0,A
galaxy_220.944973_3.5423_KIDS_220.6_3.5,220.944973,3.5423,7.17,23.95,10,0,A
galaxy_221.090828_1.8906_KIDS_221.0_1.5,221.090828,1.8906,6.96,24.6,9.4,1.34,A
galaxy_221.128598_1.9886_KIDS_221.0_1.5,221.128598,1.9886,5.87,24.38,10,0,A
galaxy_221.4176_1.95_KIDS_221.6_2.5,221.4176,1.95,8.76,24.7,9.57,1.13,A
galaxy_221.43463_1.9053_KIDS_221.0_1.5,221.43463,1.9053,5.13,24.94,8.71,1.6,A
galaxy_221.774801_2.3538_KIDS_221.6_2.5,221.774801,2.3538,6.18,24.47,9.4,1.34,A
galaxy_221.803052_3.1848_KIDS_221.6_3.5,221.803052,3.1848,6.98,24.65,9,1.55,A
galaxy_222.197283_-3.747_KIDS_222.6_-3.5,222.197283,-3.747,7.62,26.1,9.25,1.39,A
galaxy_222.974056_-2.426_KIDS_222.6_-2.5,222.974056,-2.426,6.12,24.64,9.4,1.34,A
galaxy_223.00851_2.9784_KIDS_222.6_3.5,223.00851,2.9784,6.22,24.12,9.25,1.5,A
galaxy_223.22337_3.957_KIDS_223.6_3.5,223.22337,3.957,5.35,24.41,9.4,1.34,A
galaxy_223.408375_2.9499_KIDS_223.6_2.5,223.408375,2.9499,3.63,25.15,9.57,1.13,A
galaxy_223.525896_2.18_KIDS_223.6_2.5,223.525896,2.18,4.43,24.91,9.14,1.46,A
galaxy_223.731938_1.5258_KIDS_224.0_1.5,223.731938,1.5258,7.94,23.83,10,0,A
galaxy_223.856751_1.03_KIDS_224.0_1.5,223.856751,1.03,13.78,26.12,9.57,1.13,A
galaxy_224.148312_2.8419_KIDS_224.6_2.5,224.148312,2.8419,9.52,24.42,10,0,A
galaxy_224.237081_2.7736_KIDS_224.6_2.5,224.237081,2.7736,5.73,24.81,8.14,2.67,A
galaxy_224.24522_1.7309_KIDS_224.0_1.5,224.24522,1.7309,6.88,24.78,8.71,1.6,A
galaxy_224.347502_2.3256_KIDS_224.6_2.5,224.347502,2.3256,9.31,25.59,9.62,1.06,A
galaxy_224.363559_-2.0849_KIDS_224.6_-2.5,224.363559,-2.0849,6.25,24.11,7.5,3.32,A
galaxy_224.552386_1.9941_KIDS_224.6_2.5,224.552386,1.9941,5.86,25.73,8.71,1.6,A
galaxy_224.599995_2.0862_KIDS_224.6_2.5,224.599995,2.0862,8.42,24.94,9.57,1.13,A
galaxy_224.619313_1.5422_KIDS_225.0_1.5,224.619313,1.5422,11.43,23.96,10,0,A
galaxy_224.936352_2.131_KIDS_224.6_2.5,224.936352,2.131,8.19,24.17,10,0,A
galaxy_224.996666_1.1666_KIDS_225.0_1.5,224.996666,1.1666,7.33,25.19,9.57,1.13,A
galaxy_225.24711_1.8767_KIDS_225.0_1.5,225.24711,1.8767,6.44,24.23,9.4,1.34,A
galaxy_225.253612_1.0137_KIDS_225.0_1.5,225.253612,1.0137,7.76,24.19,9.4,1.34,A
galaxy_225.278464_2.0905_KIDS_225.6_2.5,225.278464,2.0905,7.5,24.03,10,0,A
galaxy_225.314227_1.4981_KIDS_225.0_1.5,225.314227,1.4981,8.67,23.88,10,0,A
galaxy_225.316119_1.7735_KIDS_225.0_1.5,225.316119,1.7735,8.02,24.08,9.4,1.34,A
galaxy_225.330548_1.6053_KIDS_225.0_1.5,225.330548,1.6053,7.94,25.02,9.57,1.13,A
galaxy_225.410728_1.8694_KIDS_225.0_1.5,225.410728,1.8694,8.43,23.97,9.25,1.5,A
galaxy_225.419177_2.6484_KIDS_225.6_2.5,225.419177,2.6484,7.86,26.16,8.57,2.7,A
galaxy_225.45617_1.9307_KIDS_225.0_1.5,225.45617,1.9307,5.46,24.75,8.71,1.6,A
galaxy_225.63766_1.9357_KIDS_226.0_1.5,225.63766,1.9357,8.53,24.46,10,0,A
galaxy_225.66256_1.4412_KIDS_226.0_1.5,225.66256,1.4412,5.77,26.31,8.57,2.7,A
galaxy_225.671868_1.3855_KIDS_226.0_1.5,225.671868,1.3855,6.37,24.44,10,0,A
galaxy_225.767865_1.227_KIDS_226.0_1.5,225.767865,1.227,6.62,25.21,9.62,1.06,A
galaxy_225.839052_1.4308_KIDS_226.0_1.5,225.839052,1.4308,13.72,25.92,9.14,1.46,A
galaxy_225.84809_2.2059_KIDS_225.6_2.5,225.84809,2.2059,9.01,25.79,9.57,1.13,A
galaxy_225.870954_1.7_KIDS_226.0_1.5,225.870954,1.7,5.89,24.54,9.4,1.34,A
galaxy_225.924552_0.9055_KIDS_226.0_0.5,225.924552,0.9055,5.91,24.75,8.29,1.6,A
galaxy_226.06734_1.5937_KIDS_226.0_1.5,226.06734,1.5937,6.58,24.7,10,0,A
galaxy_226.070975_-0.8647_KIDS_226.0_-0.5,226.070975,-0.8647,7.62,24.45,8.2,1.64,A
galaxy_226.079852_1.755_KIDS_226.0_1.5,226.079852,1.755,13.24,24.74,10,0,A
galaxy_226.142638_1.0323_KIDS_226.0_1.5,226.142638,1.0323,6.02,24.22,9.4,1.34,A
galaxy_226.179692_0.9606_KIDS_226.0_0.5,226.179692,0.9606,7.26,25.63,9.14,1.46,A
galaxy_226.202345_1.9815_KIDS_226.6_2.5,226.202345,1.9815,7.58,23.95,10,0,A
galaxy_226.235114_2.2572_KIDS_226.6_2.5,226.235114,2.2572,5.04,25.1,9.57,1.13,A
galaxy_226.287115_2.1574_KIDS_226.6_2.5,226.287115,2.1574,5.81,24.64,8.29,1.6,A
galaxy_226.334214_1.8115_KIDS_226.0_1.5,226.334214,1.8115,17.44,25.7,8.71,1.6,A
galaxy_226.348944_1.2432_KIDS_226.0_1.5,226.348944,1.2432,7.57,26.01,9.14,1.46,A
galaxy_226.377881_1.5081_KIDS_226.0_1.5,226.377881,1.5081,8.34,25.68,9.14,1.46,A
galaxy_226.403934_2.2506_KIDS_226.6_2.5,226.403934,2.2506,5.8,24.39,9.4,1.34,A
galaxy_226.44411_1.0163_KIDS_226.0_0.5,226.44411,1.0163,6.58,24.59,9.4,1.34,A
galaxy_226.458529_0.8587_KIDS_226.0_0.5,226.458529,0.8587,3.88,25.57,8.29,1.6,A
galaxy_226.524522_2.3875_KIDS_226.6_2.5,226.524522,2.3875,5.46,24.49,10,0,A
galaxy_226.525659_1.4285_KIDS_227.0_1.5,226.525659,1.4285,8.4,25.44,8.5,1.6,A
galaxy_226.553015_2.1693_KIDS_226.6_2.5,226.553015,2.1693,4.88,25.27,9.4,1.34,A
galaxy_226.565339_1.4872_KIDS_227.0_1.5,226.565339,1.4872,5.54,25.3,8.57,2.7,A
galaxy_226.639885_1.6553_KIDS_227.0_1.5,226.639885,1.6553,4.5,25.26,8.14,2.67,A
galaxy_226.642694_0.21_KIDS_227.0_0.5,226.642694,0.21,8.52,23.98,8.57,2.7,A
galaxy_226.661012_2.2715_KIDS_226.6_2.5,226.661012,2.2715,4.81,24.81,9.14,1.46,A
galaxy_226.666074_2.0336_KIDS_226.6_2.5,226.666074,2.0336,4.25,25.71,8.71,1.6,A
galaxy_226.700488_2.2491_KIDS_226.6_2.5,226.700488,2.2491,5.4,25.92,9.25,1.39,A
galaxy_226.710953_2.5387_KIDS_226.6_2.5,226.710953,2.5387,7.32,25.07,8.5,1.6,A
galaxy_226.738914_1.2726_KIDS_227.0_1.5,226.738914,1.2726,10.15,24.89,10,0,A
galaxy_226.76687_1.8355_KIDS_227.0_1.5,226.76687,1.8355,6.34,24.24,10,0,A
galaxy_226.865838_1.3648_KIDS_227.0_1.5,226.865838,1.3648,5.96,25.36,9.57,1.13,A
galaxy_226.892304_1.1198_KIDS_227.0_1.5,226.892304,1.1198,8.91,23.98,9.25,1.5,A
galaxy_226.897276_1.99_KIDS_227.0_1.5,226.897276,1.99,4.47,25.21,9.57,1.13,A
galaxy_226.948639_1.0374_KIDS_227.0_1.5,226.948639,1.0374,8.22,24.99,9.57,1.13,A
galaxy_227.01193_2.2353_KIDS_226.6_2.5,227.01193,2.2353,6.27,25.3,8.71,1.6,A
galaxy_227.035173_2.9045_KIDS_226.6_2.5,227.035173,2.9045,6.54,24.74,8.8,1.64,A
galaxy_227.037857_1.4212_KIDS_227.0_1.5,227.037857,1.4212,5.48,24.64,9.4,1.34,A
galaxy_227.051751_1.4997_KIDS_227.0_1.5,227.051751,1.4997,8.13,24.04,10,0,A
galaxy_227.082798_1.702_KIDS_227.0_1.5,227.082798,1.702,6.34,24.74,10,0,A
galaxy_227.098763_2.1784_KIDS_226.6_2.5,227.098763,2.1784,10.42,25.66,9.14,1.46,A
galaxy_227.106225_1.7068_KIDS_227.0_1.5,227.106225,1.7068,5.84,24.43,9.4,1.34,A
galaxy_227.111587_1.457_KIDS_227.0_1.5,227.111587,1.457,5.62,25.38,8.71,1.6,A
galaxy_227.159465_2.0134_KIDS_227.6_2.5,227.159465,2.0134,6.77,25.22,8.29,1.6,A
galaxy_227.257364_1.6146_KIDS_227.0_1.5,227.257364,1.6146,6.37,24,9.4,1.34,A
galaxy_227.261145_1.8471_KIDS_227.0_1.5,227.261145,1.8471,10.89,24.99,10,0,A
galaxy_227.262447_1.0609_KIDS_227.0_1.5,227.262447,1.0609,4.07,24.78,9.57,1.13,A
galaxy_227.271902_1.9571_KIDS_227.0_1.5,227.271902,1.9571,7.3,24.77,9.4,1.34,A
galaxy_227.335354_1.72_KIDS_227.0_1.5,227.335354,1.72,5.25,25.11,8.71,1.6,A
galaxy_227.460861_0.2832_KIDS_227.0_0.5,227.460861,0.2832,7.34,23.86,8.2,1.64,A
galaxy_228.250139_-1.8725_KIDS_228.0_-1.5,228.250139,-1.8725,5.46,25.28,7.29,2.36,A
galaxy_228.682021_1.53_KIDS_229.0_1.5,228.682021,1.53,7.88,24.65,10,0,A
galaxy_232.048_0.409_KIDS_232.0_0.5,232.048,0.409,4.97,25.41,8.5,1.6,A
galaxy_233.163616_-1.6017_KIDS_233.0_-1.5,233.163616,-1.6017,6.22,24.18,9.25,1.5,A
galaxy_235.568945_0.5459_KIDS_236.0_0.5,235.568945,0.5459,6.95,25.69,9.57,1.13,A
galaxy_236.058279_1.0972_KIDS_236.0_1.5,236.058279,1.0972,5.3,25.07,7.14,3.13,A
galaxy_237.801917_-1.5014_KIDS_238.0_-1.5,237.801917,-1.5014,6.2,24.94,7.4,2.88,A
galaxy_238.311723_0.7095_KIDS_238.0_0.5,238.311723,0.7095,8.42,24.86,9.14,1.46,A
galaxy_238.383166_0.3946_KIDS_238.0_0.5,238.383166,0.3946,8.35,24.92,7.2,3.83,A
galaxy_329.611867_-31.5468_KIDS_329.7_-31.2,329.611867,-31.5468,4.99,24.48,9.4,1.34,A
galaxy_329.636711_-32.5485_KIDS_329.4_-32.1,329.636711,-32.5485,6.89,24.77,10,0,A
galaxy_329.754707_-28.4454_KIDS_329.5_-28.2,329.754707,-28.4454,7.13,24.44,8.33,2.88,A
galaxy_329.81197_-30.743_KIDS_329.7_-31.2,329.81197,-30.743,7.86,25.03,10,0,A
galaxy_330.10366_-31.786_KIDS_330.6_-32.1,330.10366,-31.786,9.16,23.9,8.5,1.73,A
galaxy_330.12853_-33.0852_KIDS_330.3_-33.1,330.12853,-33.0852,4.22,25.17,9.14,1.46,A
galaxy_330.160791_-31.8156_KIDS_330.6_-32.1,330.160791,-31.8156,5.28,24.29,9.4,1.34,A
galaxy_330.171874_-32.0909_KIDS_330.6_-32.1,330.171874,-32.0909,7.13,23.97,9.4,1.34,A
galaxy_330.21786_-32.3476_KIDS_330.6_-32.1,330.21786,-32.3476,6.7,24.7,8.71,1.6,A
galaxy_330.226365_-32.094_KIDS_330.6_-32.1,330.226365,-32.094,5.41,25.26,9.57,1.13,A
galaxy_330.32077_-31.07_KIDS_330.9_-31.2,330.32077,-31.07,6.8,26.31,9.57,1.13,A
galaxy_330.409417_-35.2232_KIDS_330.8_-35.1,330.409417,-35.2232,6.41,24.16,8.8,1.64,A
galaxy_330.411317_-31.4356_KIDS_330.9_-31.2,330.411317,-31.4356,7.5,25.07,8.29,1.6,A
galaxy_330.445517_-31.6441_KIDS_330.9_-31.2,330.445517,-31.6441,6.8,26.1,9.14,1.46,A
galaxy_330.523333_-30.7548_KIDS_330.9_-31.2,330.523333,-30.7548,6.1,24.18,9.5,1.22,A
galaxy_330.565844_-32.8489_KIDS_330.3_-33.1,330.565844,-32.8489,8.22,25.43,8.71,1.6,A
galaxy_330.583731_-31.5786_KIDS_330.9_-31.2,330.583731,-31.5786,8.26,24.4,9.5,1.22,A
galaxy_330.592705_-32.305_KIDS_330.6_-32.1,330.592705,-32.305,6.88,24.03,10,0,A
galaxy_330.703677_-34.7567_KIDS_330.8_-35.1,330.703677,-34.7567,5.44,24.99,8.71,1.6,A
galaxy_330.725781_-34.9_KIDS_330.8_-35.1,330.725781,-34.9,6.88,24.14,9.4,1.34,A
galaxy_330.876594_-33.7004_KIDS_331.2_-34.1,330.876594,-33.7004,10.53,24.26,8.8,1.64,A
galaxy_330.927343_-31.6561_KIDS_330.9_-31.2,330.927343,-31.6561,6.11,24.08,9.4,1.34,A
galaxy_330.963191_-35.2004_KIDS_330.8_-35.1,330.963191,-35.2004,4.97,24.48,9,1.55,A
galaxy_330.987449_-31.9553_KIDS_330.6_-32.1,330.987449,-31.9553,5.59,24.21,10,0,A
galaxy_331.02194_-32.087_KIDS_330.6_-32.1,331.02194,-32.087,4.81,24.74,9.57,1.13,A
galaxy_331.051027_-32.361_KIDS_330.6_-32.1,331.051027,-32.361,4.66,25.42,9.14,1.46,A
galaxy_331.259907_-31.6984_KIDS_331.8_-32.1,331.259907,-31.6984,6.31,25.09,9.4,1.34,A
galaxy_331.293043_-33.1341_KIDS_331.5_-33.1,331.293043,-33.1341,6.26,23.86,9.4,1.34,A
galaxy_331.305201_-32.3764_KIDS_331.8_-32.1,331.305201,-32.3764,7.52,24.46,8.2,1.64,A
galaxy_331.36042_-31.5593_KIDS_330.9_-31.2,331.36042,-31.5593,8.2,24.03,10,0,A
galaxy_331.523414_-31.9492_KIDS_331.8_-32.1,331.523414,-31.9492,7.18,25.12,8.88,1.55,A
galaxy_331.740855_-27.828_KIDS_331.8_-28.2,331.740855,-27.828,6.25,25.26,9.14,1.46,A
galaxy_331.797235_-31.0796_KIDS_332.0_-31.2,331.797235,-31.0796,10.5,24.2,7.4,2.88,A
galaxy_331.815264_-32.207_KIDS_331.8_-32.1,331.815264,-32.207,8.89,24.08,7.75,1.5,A
galaxy_332.163334_-28.2841_KIDS_331.8_-28.2,332.163334,-28.2841,9.54,24.59,8.8,1.64,A
galaxy_332.216734_-30.6494_KIDS_332.4_-30.2,332.216734,-30.6494,9.56,24.67,7.75,1.5,A
galaxy_332.729192_-27.91_KIDS_332.9_-28.2,332.729192,-27.91,8.34,24.9,8.8,1.64,A
galaxy_332.915444_-34.1716_KIDS_332.4_-34.1,332.915444,-34.1716,6.98,24.03,9.4,1.34,A
galaxy_333.653012_-27.596_KIDS_333.1_-27.2,333.653012,-27.596,10.7,24.22,8.6,3.13,A
galaxy_334.086977_-27.2981_KIDS_334.2_-27.2,334.086977,-27.2981,7.04,24.31,9.4,1.34,A
galaxy_334.210794_-27.8787_KIDS_334.0_-28.2,334.210794,-27.8787,7.81,24.54,7.4,2.88,A
galaxy_335.329183_-33.2013_KIDS_335.0_-33.1,335.329183,-33.2013,5.63,25.44,9.62,1.06,A
galaxy_335.374519_-26.8425_KIDS_335.3_-27.2,335.374519,-26.8425,4.88,24.66,9.14,1.46,A
